date,time,weekday,os,country,page
2021-10-01,00:00:00,Friday,Windows,United States,Detail
2021-10-01,00:00:00,Friday,Mac,United Kingdom,Shopping Cart
2021-10-01,00:00:00,Friday,Linux,Brazil,Detail
2021-10-01,00:00:00,Friday,Windows,Canada,Detail
2021-10-01,00:00:00,Friday,Linux,Germany,Landing
2021-10-01,00:00:00,Friday,Mac,New Zealand,Landing
2021-10-01,00:00:00,Friday,Mac,Russia,Shopping Cart
2021-10-01,00:00:00,Friday,Android,Canada,Landing
2021-10-01,00:00:00,Friday,Windows,United States,Detail
2021-10-01,00:00:00,Friday,Android,United Kingdom,Detail
2021-10-01,00:00:00,Friday,Windows,Brazil,Landing
2021-10-01,01:00:00,Friday,Android,Canada,Checkout
2021-10-01,01:00:00,Friday,Windows,United States,Landing
2021-10-01,01:00:00,Friday,Android,United States,Order completed
2021-10-01,01:00:00,Friday,Android,Brazil,Shopping Cart
2021-10-01,01:00:00,Friday,Mac,United States,Detail
2021-10-01,01:00:00,Friday,iOS,United States,Landing
2021-10-01,01:00:00,Friday,Windows,United States,Landing
2021-10-01,02:00:00,Friday,Mac,Canada,Landing
2021-10-01,02:00:00,Friday,Mac,Canada,Detail
2021-10-01,02:00:00,Friday,Windows,United Kingdom,Detail
2021-10-01,02:00:00,Friday,Mac,Australia,Landing
2021-10-01,02:00:00,Friday,Android,United Kingdom,Landing
2021-10-01,02:00:00,Friday,iOS,United Kingdom,Detail
2021-10-01,02:00:00,Friday,Windows,United States,Landing
2021-10-01,02:00:00,Friday,Windows,Russia,Landing
2021-10-01,02:00:00,Friday,iOS,United States,Detail
2021-10-01,02:00:00,Friday,Linux,Australia,Shopping Cart
2021-10-01,02:00:00,Friday,Android,United States,Landing
2021-10-01,02:00:00,Friday,Windows,Canada,Shopping Cart
2021-10-01,02:00:00,Friday,Android,Australia,Landing
2021-10-01,02:00:00,Friday,Android,Canada,Shopping Cart
2021-10-01,03:00:00,Friday,Android,Canada,Landing
2021-10-01,03:00:00,Friday,Android,Australia,Checkout
2021-10-01,03:00:00,Friday,Windows,United States,Shopping Cart
2021-10-01,03:00:00,Friday,Android,Russia,Detail
2021-10-01,03:00:00,Friday,Android,United States,Order completed
2021-10-01,03:00:00,Friday,iOS,United States,Landing
2021-10-01,03:00:00,Friday,Mac,Australia,Order completed
2021-10-01,03:00:00,Friday,iOS,United Kingdom,Shopping Cart
2021-10-01,03:00:00,Friday,Windows,United States,Order completed
2021-10-01,04:00:00,Friday,Mac,United States,Shopping Cart
2021-10-01,04:00:00,Friday,Windows,New Zealand,Checkout
2021-10-01,04:00:00,Friday,Windows,United States,Shopping Cart
2021-10-01,04:00:00,Friday,Linux,Australia,Detail
2021-10-01,04:00:00,Friday,Linux,United Kingdom,Checkout
2021-10-01,04:00:00,Friday,Mac,Brazil,Landing
2021-10-01,04:00:00,Friday,Windows,United Kingdom,Landing
2021-10-01,05:00:00,Friday,Android,Australia,Landing
2021-10-01,05:00:00,Friday,Windows,United States,Order completed
2021-10-01,05:00:00,Friday,Android,Mexico,Landing
2021-10-01,05:00:00,Friday,Windows,Canada,Landing
2021-10-01,05:00:00,Friday,iOS,Canada,Landing
2021-10-01,05:00:00,Friday,Android,United States,Detail
2021-10-01,05:00:00,Friday,iOS,United Kingdom,Landing
2021-10-01,05:00:00,Friday,Windows,Brazil,Landing
2021-10-01,05:00:00,Friday,iOS,United States,Landing
2021-10-01,05:00:00,Friday,Mac,Brazil,Shopping Cart
2021-10-01,05:00:00,Friday,Mac,United States,Landing
2021-10-01,06:00:00,Friday,Windows,United Kingdom,Detail
2021-10-01,06:00:00,Friday,Windows,Australia,Landing
2021-10-01,06:00:00,Friday,Android,United Kingdom,Landing
2021-10-01,06:00:00,Friday,iOS,Canada,Landing
2021-10-01,06:00:00,Friday,Mac,Canada,Detail
2021-10-01,06:00:00,Friday,Android,United States,Landing
2021-10-01,06:00:00,Friday,Windows,United States,Detail
2021-10-01,06:00:00,Friday,Android,Russia,Landing
2021-10-01,06:00:00,Friday,Android,Russia,Detail
2021-10-01,06:00:00,Friday,Mac,United Kingdom,Landing
2021-10-01,07:00:00,Friday,Windows,United States,Landing
2021-10-01,07:00:00,Friday,Windows,United States,Landing
2021-10-01,07:00:00,Friday,Windows,Australia,Order completed
2021-10-01,07:00:00,Friday,Android,New Zealand,Landing
2021-10-01,07:00:00,Friday,Linux,Australia,Landing
2021-10-01,07:00:00,Friday,Windows,United States,Landing
2021-10-01,07:00:00,Friday,iOS,Canada,Checkout
2021-10-01,08:00:00,Friday,Linux,United Kingdom,Detail
2021-10-01,08:00:00,Friday,Windows,United States,Landing
2021-10-01,08:00:00,Friday,Linux,United States,Checkout
2021-10-01,08:00:00,Friday,Mac,Australia,Landing
2021-10-01,08:00:00,Friday,Mac,United States,Landing
2021-10-01,08:00:00,Friday,Windows,Canada,Landing
2021-10-01,08:00:00,Friday,Windows,Brazil,Detail
2021-10-01,08:00:00,Friday,Android,United Kingdom,Detail
2021-10-01,08:00:00,Friday,Windows,United States,Landing
2021-10-01,09:00:00,Friday,Mac,United States,Landing
2021-10-01,09:00:00,Friday,Windows,New Zealand,Detail
2021-10-01,09:00:00,Friday,Windows,United Kingdom,Order completed
2021-10-01,09:00:00,Friday,Mac,Canada,Order completed
2021-10-01,09:00:00,Friday,Windows,United States,Landing
2021-10-01,09:00:00,Friday,Windows,United States,Shopping Cart
2021-10-01,09:00:00,Friday,iOS,Canada,Landing
2021-10-01,09:00:00,Friday,Android,Australia,Detail
2021-10-01,09:00:00,Friday,Windows,United Kingdom,Shopping Cart
2021-10-01,09:00:00,Friday,Windows,United States,Landing
2021-10-01,09:00:00,Friday,Windows,United States,Landing
2021-10-01,10:00:00,Friday,Windows,United States,Landing
2021-10-01,10:00:00,Friday,Android,United States,Landing
2021-10-01,10:00:00,Friday,Windows,United States,Landing
2021-10-01,10:00:00,Friday,Windows,Australia,Shopping Cart
2021-10-01,10:00:00,Friday,Mac,Canada,Landing
2021-10-01,10:00:00,Friday,Windows,Canada,Order completed
2021-10-01,10:00:00,Friday,iOS,Mexico,Detail
2021-10-01,10:00:00,Friday,Linux,Canada,Checkout
2021-10-01,10:00:00,Friday,iOS,United States,Checkout
2021-10-01,11:00:00,Friday,Mac,United States,Detail
2021-10-01,11:00:00,Friday,Linux,Australia,Landing
2021-10-01,11:00:00,Friday,Linux,United States,Shopping Cart
2021-10-01,11:00:00,Friday,iOS,Canada,Landing
2021-10-01,11:00:00,Friday,Windows,Russia,Shopping Cart
2021-10-01,11:00:00,Friday,Linux,Canada,Shopping Cart
2021-10-01,11:00:00,Friday,Android,Canada,Detail
2021-10-01,11:00:00,Friday,Windows,Brazil,Detail
2021-10-01,11:00:00,Friday,Mac,United States,Landing
2021-10-01,11:00:00,Friday,Windows,United States,Detail
2021-10-01,11:00:00,Friday,Android,United States,Detail
2021-10-01,12:00:00,Friday,iOS,Canada,Landing
2021-10-01,12:00:00,Friday,iOS,United States,Landing
2021-10-01,12:00:00,Friday,Windows,United States,Detail
2021-10-01,12:00:00,Friday,iOS,United Kingdom,Landing
2021-10-01,12:00:00,Friday,Android,United States,Landing
2021-10-01,12:00:00,Friday,Windows,Canada,Landing
2021-10-01,12:00:00,Friday,Android,Australia,Order completed
2021-10-01,12:00:00,Friday,Android,United States,Checkout
2021-10-01,12:00:00,Friday,Windows,Canada,Order completed
2021-10-01,12:00:00,Friday,Mac,Germany,Landing
2021-10-01,12:00:00,Friday,Windows,Australia,Order completed
2021-10-01,13:00:00,Friday,Mac,Germany,Checkout
2021-10-01,13:00:00,Friday,Windows,United States,Shopping Cart
2021-10-01,13:00:00,Friday,Android,Canada,Landing
2021-10-01,13:00:00,Friday,Windows,United States,Detail
2021-10-01,13:00:00,Friday,Mac,New Zealand,Shopping Cart
2021-10-01,13:00:00,Friday,Linux,Canada,Checkout
2021-10-01,13:00:00,Friday,Android,Russia,Checkout
2021-10-01,13:00:00,Friday,Android,United States,Detail
2021-10-01,13:00:00,Friday,Windows,United States,Landing
2021-10-01,13:00:00,Friday,Windows,Canada,Detail
2021-10-01,13:00:00,Friday,Mac,United Kingdom,Landing
2021-10-01,13:00:00,Friday,Mac,United States,Landing
2021-10-01,13:00:00,Friday,Windows,Canada,Landing
2021-10-01,13:00:00,Friday,Android,Canada,Detail
2021-10-01,13:00:00,Friday,Windows,United Kingdom,Order completed
2021-10-01,13:00:00,Friday,iOS,United States,Checkout
2021-10-01,13:00:00,Friday,Windows,United States,Landing
2021-10-01,13:00:00,Friday,Mac,Australia,Landing
2021-10-01,14:00:00,Friday,iOS,United States,Landing
2021-10-01,14:00:00,Friday,Windows,Canada,Landing
2021-10-01,14:00:00,Friday,Android,Canada,Landing
2021-10-01,14:00:00,Friday,Windows,Australia,Landing
2021-10-01,14:00:00,Friday,Windows,Australia,Landing
2021-10-01,14:00:00,Friday,Android,Canada,Order completed
2021-10-01,14:00:00,Friday,Windows,Russia,Landing
2021-10-01,14:00:00,Friday,iOS,New Zealand,Checkout
2021-10-01,14:00:00,Friday,Mac,United States,Shopping Cart
2021-10-01,14:00:00,Friday,Windows,Australia,Detail
2021-10-01,14:00:00,Friday,iOS,United States,Shopping Cart
2021-10-01,15:00:00,Friday,Windows,United States,Landing
2021-10-01,15:00:00,Friday,Linux,Canada,Checkout
2021-10-01,15:00:00,Friday,Windows,United States,Landing
2021-10-01,15:00:00,Friday,Android,United States,Landing
2021-10-01,15:00:00,Friday,Android,United States,Landing
2021-10-01,15:00:00,Friday,Android,New Zealand,Landing
2021-10-01,15:00:00,Friday,Android,Australia,Shopping Cart
2021-10-01,15:00:00,Friday,Windows,Canada,Detail
2021-10-01,15:00:00,Friday,Linux,Canada,Landing
2021-10-01,15:00:00,Friday,Windows,United States,Detail
2021-10-01,15:00:00,Friday,Mac,United Kingdom,Landing
2021-10-01,15:00:00,Friday,Mac,United Kingdom,Detail
2021-10-01,15:00:00,Friday,Windows,United Kingdom,Landing
2021-10-01,16:00:00,Friday,iOS,United States,Shopping Cart
2021-10-01,16:00:00,Friday,Mac,Australia,Landing
2021-10-01,16:00:00,Friday,iOS,United States,Landing
2021-10-01,16:00:00,Friday,Windows,United States,Shopping Cart
2021-10-01,16:00:00,Friday,Mac,Canada,Detail
2021-10-01,16:00:00,Friday,Android,Brazil,Landing
2021-10-01,16:00:00,Friday,Mac,United States,Checkout
2021-10-01,16:00:00,Friday,Windows,Australia,Order completed
2021-10-01,16:00:00,Friday,Windows,New Zealand,Order completed
2021-10-01,16:00:00,Friday,Android,New Zealand,Landing
2021-10-01,16:00:00,Friday,Windows,United Kingdom,Checkout
2021-10-01,16:00:00,Friday,iOS,United States,Landing
2021-10-01,16:00:00,Friday,Windows,Australia,Shopping Cart
2021-10-01,16:00:00,Friday,iOS,United Kingdom,Landing
2021-10-01,16:00:00,Friday,Android,Mexico,Landing
2021-10-01,16:00:00,Friday,Android,New Zealand,Landing
2021-10-01,16:00:00,Friday,Mac,United States,Detail
2021-10-01,16:00:00,Friday,iOS,United Kingdom,Shopping Cart
2021-10-01,16:00:00,Friday,Android,United States,Shopping Cart
2021-10-01,16:00:00,Friday,Android,United States,Detail
2021-10-01,16:00:00,Friday,Mac,Russia,Detail
2021-10-01,16:00:00,Friday,Linux,Canada,Landing
2021-10-01,16:00:00,Friday,Windows,Canada,Landing
2021-10-01,16:00:00,Friday,Android,Canada,Shopping Cart
2021-10-01,17:00:00,Friday,Mac,New Zealand,Landing
2021-10-01,17:00:00,Friday,Windows,United States,Detail
2021-10-01,17:00:00,Friday,Windows,United States,Landing
2021-10-01,17:00:00,Friday,Windows,Brazil,Shopping Cart
2021-10-01,17:00:00,Friday,Android,United States,Landing
2021-10-01,17:00:00,Friday,Windows,United States,Shopping Cart
